name,longitude,latitude,prov,date,key
Accipiter striatus,-97.33901,32.98793,gbif,2016-02-17,1253301996
Accipiter striatus,-106.12754,38.67282,gbif,2016-02-09,1324192382
Accipiter striatus,-116.80062,35.9156,gbif,2016-02-06,1257413987
Accipiter striatus,-114.16574,51.08735,gbif,2016-02-21,1253305197
Accipiter striatus,-96.98175,32.82409,gbif,2016-02-08,1249289564
Accipiter striatus,-121.69263,36.90376,gbif,2016-02-03,1249287169
Accipiter striatus,-75.79706,45.37368,gbif,2016-02-27,1253311157
Accipiter striatus,-135.32907,57.05242,gbif,2016-02-10,1249293443
Accipiter striatus,-96.84449,32.80045,gbif,2016-02-20,1253303948
Accipiter striatus,-135.32908,57.05243,gbif,2016-02-10,1249291910
Accipiter striatus,-72.42691,43.52833,gbif,2016-02-20,1253315419
Accipiter striatus,-100.52378,25.77735,gbif,2016-02-21,1253304942
Accipiter striatus,-97.0594,49.95094,gbif,2016-02-13,1305176324
Accipiter striatus,-76.79219,40.18353,gbif,2016-03-07,1315051322
Accipiter striatus,-122.12158,37.07833,gbif,2016-03-24,1262389472
Accipiter striatus,-117.06333,33.097410000000004,gbif,2016-03-06,1257412928
Accipiter striatus,-93.85853,29.91932,gbif,2016-03-31,1265550819
Accipiter striatus,-123.97608,49.18573,gbif,2016-03-29,1265547985
Accipiter striatus,-96.96927,32.99617,gbif,2016-03-01,1253315938
Accipiter striatus,-73.46454,40.80439,gbif,2016-03-15,1291137787
Accipiter striatus,-72.81245,43.77387,gbif,2016-03-20,1262384574
Accipiter striatus,-105.01721,40.41241,gbif,2016-03-29,1273762649
Accipiter striatus,-72.46131,44.34088,gbif,2016-03-24,1262388795
Pinus contorta,168.85006,-44.94818,gbif,2016-01-30,1269541527
Pinus contorta,-120.33987,39.34308,gbif,2016-01-03,1249276846
Pinus contorta,176.32093,-39.33307,gbif,2016-02-16,1249301037
Pinus contorta,-123.35278,48.90594,gbif,2016-02-29,1253314823
Pinus contorta,-123.9821,46.20296,gbif,2016-02-07,1249288703
Pinus contorta,7.01607,62.8677,gbif,2016-02-20,1272958740
Pinus contorta,-123.90852,46.24632,gbif,2016-03-15,1265538444
Pinus contorta,-123.35651,48.90668,gbif,2016-03-03,1265538015
Pinus contorta,6.9002,58.37633,gbif,2016-03-24,1272971879
Pinus contorta,-124.03073,46.52314,gbif,2016-03-29,1265549253
Pinus contorta,10.2992,63.1868,gbif,2016-04-10,1272977243
Pinus contorta,-115.55988,51.16078,gbif,2016-04-21,1265894722
Pinus contorta,-135.3268,57.05413,gbif,2016-04-07,1265893946
Pinus contorta,169.86365,-44.37911,gbif,2016-04-27,1265601314
Pinus contorta,-123.93707,46.1007,gbif,2016-05-23,1291077604
Pinus contorta,-123.93667,46.10185,gbif,2016-05-23,1269581192
Pinus contorta,-111.37106,44.42436,gbif,2016-05-26,1305122165
Pinus contorta,-124.20357,41.87682,gbif,2016-05-01,1291073778
Pinus contorta,-121.10481,48.69273,gbif,2016-05-20,1272081884
Pinus contorta,6.56216,58.27306,gbif,2016-05-12,1272994052
Pinus contorta,-9.51761,51.42803,gbif,2016-06-08,1313447593
Pinus contorta,7.62006,63.10301,gbif,2016-06-22,1323244428
Pinus contorta,-9.89982,51.62921,gbif,2016-06-09,1313444768
Pinus contorta,7.62423,63.10288,gbif,2016-06-22,1323244301
Pinus contorta,-124.16598,40.85716,gbif,2016-06-11,1291082007
Pinus contorta,-135.71261,58.40588,gbif,2016-06-25,1291087880
Pinus contorta,-120.23639,39.43396,gbif,2016-06-25,1291089477
Pinus contorta,7.01022,62.87423,gbif,2016-06-18,1323231903
Pinus contorta,-120.12141,38.67326,gbif,2016-06-09,1273848214
Pinus contorta,-119.05444,48.8509,gbif,2016-06-07,1272098674
Pinus contorta,-135.80708,62.01669,gbif,2016-06-25,1315049949
Pinus contorta,-120.24316,39.43183,gbif,2016-06-23,1273857360
Pinus contorta,-118.37857,35.99255,gbif,2016-06-14,1272113221
Pinus contorta,-120.02872,38.87559,gbif,2016-06-18,1273849641
Pinus contorta,-9.84172,51.62114,gbif,2016-06-11,1313444807
Pinus contorta,7.62,63.10423,gbif,2016-06-22,1323244287
Pinus contorta,-120.61783,39.43138,gbif,2016-06-18,1291082872
Pinus contorta,-119.25182,37.90818,gbif,2016-06-19,1273854458
Pinus contorta,-118.3786,35.99249,gbif,2016-06-14,1272115957
Pinus contorta,-123.92057,45.70848,gbif,2016-07-05,1291164213
Pinus contorta,-118.60455,37.72449,gbif,2016-07-30,1291666457
Pinus contorta,6.63771,58.67098,gbif,2016-07-19,1323278957
Pinus contorta,-121.45473,45.34683,gbif,2016-07-03,1291105136
Pinus contorta,-123.93886,45.65393,gbif,2016-07-30,1291157544
Pinus contorta,-120.24387,39.42851,gbif,2016-07-20,1291143024
Pinus contorta,-120.33929,39.34084,gbif,2016-07-20,1291140722
Pinus contorta,-121.94898,46.79819,gbif,2016-07-28,1305156511
Pinus contorta,-151.06303,60.77443,gbif,2016-07-12,1305123900
Pinus contorta,11.24959,63.13348,gbif,2016-07-15,1323312764
Pinus contorta,-113.66794,48.78797,gbif,2016-07-09,1291665469
